"program","willingness_to_pay","government_net_costs","increased_net_income","increased_tax_revenue","cost_difference_between_college_and_vocational_degree","mvpf","additional_return_value","program_name","year","category","average_age_beneficiary","short_description","average_earnings_beneficiary","notes"
"BestUpInformationWorkshop",12176.4371091125,-6148.51865621899,194848.656752222,159421.628251818,26934.1106231207,Inf,NA,"Best Up College Information Workshop",2013,"Education",19,"A group of researchers  studied the effect of providing information about the benefits of college education to high school students one year prior to graduation.",NA,NA
"bridgingAllowance",26763.1085002347,-9561.08877291926,NA,NA,NA,Inf,NA,"Bridging Allowance",2003,"Active Labor Market Policy",40.17,"The bridging allowance ""Überbrückungsgeld"" was a subsidy equal to the potential unemployment benefit payed to start up founders who would otherwise have been eligible for unemployment benefits. The briding allowance was payed for 6 months.",2189.362,NA
"classRoomTraining",2772.56349350684,2711.53895985803,NA,NA,NA,1.02250549763519,NA,"Class Room Training",2000,"Active Labor Market Policy",37,"Government sponsored training that lasts on average 7.5 months.",NA,NA
"G8",2793.5012989717,-5549.57621610208,NA,NA,NA,Inf,NA,"G8",2011,"Education",18,"Between 2007 and 2013 some German federal states shortened the length of the academic high school track ""Gymnasium"" from 9 to 8 years.",NA,NA
"jobCreationSchemes",3313.56748547095,11910.7585305595,NA,NA,NA,0.278199535064816,NA,"Job Creation Schemes",2005,"Active Labor Market Policy",NA,"Job Creation Schemes ""Arbeitsbeschaffungsmaßnahmen"" are comprised of subsizied jobs aimed at  unemployed who would not be able to find a job otherwise. This measure is mostly employed in local labor markets with excess labor supply. The duration of the subsidy (between 900 and 1300€ payed to the employer) is usually limited to 12 months.",NA,NA
"longTraining",13231.6256786904,-895.875555292136,NA,NA,NA,Inf,NA,"Long Training",1993,"Active Labor Market Policy",35.2,"Government sponsored Training Program lasting longer than 6 months",1396,NA
"mentoringBalu",6788.66786976183,-2361.2349073139,NA,NA,NA,Inf,NA,"Mentoring Program Balu und Du",2011,"Education",10,"Elementary School students were assigned mentors who should encourage the acquisition of new ideas and skills.",NA,NA
"oneEuroJobs",-157.185426535157,2722.2634648725,NA,NA,NA,-0.0577407104651858,NA,"One Euro Jobs",2005,"Active Labor Market Policy",NA,"One Euro Jobs ""Ein Euro Jobs"" are jobs which are assigned to long term unemployed to help them reintegrate into the labor market. These jobs are meant to be unpayed. However, the participants receive a compenstation of at leat one euro per hour worked.",NA,NA
"practiceFirm",11705.285833282,-3012.05204541258,NA,NA,NA,Inf,NA,"Practice Firm",1993,"Active Labor Market Policy",36,"Government sponsored training that simulates a job",1396,NA
"retraining",18532.1596699438,5820.32390640958,NA,NA,NA,3.18404266977916,NA,"Retraining",1993,"Active Labor Market Policy",31,"Government sponsored training to obtain a new professional degree in a field other than the
profession currently held",1396,NA
"shortTraining",20794.2305142413,-12574.4613298338,NA,NA,NA,Inf,NA,"Short Training",1993,"Active Labor Market Policy",34.8,"Government sponsored Training Program lasting less less then 6 months",1396,NA
"speedLimitA3",6988834.43217243,3930510.51784543,NA,NA,NA,1.77809839216598,NA,"Speed Limit A3",2015,NA,NA,"Potential Speed Limit of 130 kmph on German Autobahn A3",NA,NA
"speedLimitA61",7804210.69128194,8487212.84872627,NA,NA,NA,0.919525741887475,NA,"Speed Limit A61",2015,NA,NA,"Potential Speed Limit of 130 kmph on German Autobahn A61",NA,NA
"startupGrant",29810.5142796392,-14014.4577960248,NA,NA,NA,Inf,NA,"Start Up Grant",2009,"Active Labor Market Policy",40.969,"The start up Grant is the follow up program to the  bridging allowance ""Überbrückungsgeld"" and start up subsidy ""Existenzgründungszuschuss"" which were replaced in 2006. This subsidy pays the individual unemloyment benefit for 6 months and an additional 300 euros for up to 15 months.",2047.962,NA
"startupSubsidy",18838.1103521069,-1304.14840340981,NA,NA,NA,Inf,NA,"Start Up Subsidy",2003,"Active Labor Market Policy",38.86,"The start up subsidy ""Existenzgründungszuschuss"" was a subsidy that was payed for 3 years to start up founders who received unemployment benefits before entering self-employment.",1459.378,NA
"subsidizedJobOpportunities",3762.92742232773,17525.1379825056,NA,NA,NA,0.214715994024359,NA,"Subsidized Job Opportunities",2005,"Active Labor Market Policy",NA,"Similar to  Job Creation Schemes, Subsidized Job Opportunities ""Arbeitsgelegenheiten"" are jobs where the employer receives a subsidy. The focus of subsidized job opportunities lies on reintegration. The amount of subsidy payed to the employer is not fixed and the types of jobs that can be subsizied  is more broad.",NA,NA
"taxReform1990",1,-0.19240416827853,NA,NA,NA,Inf,NA,"Top Tax Reform 1990",1990,"Top Tax Reform",NA,"In 1990 Germany reduced the top tax rate from 56% to 53%",NA,NA
"taxReform2000",1,0.352185678650037,NA,NA,NA,2.83941131233133,NA,"Top Tax Reform 2000",2000,"Top Tax Reform",NA,"In 2000 Germany reduced the top tax rate from 53% to 42%",NA,NA
"testProgram",2,1,NA,NA,NA,2,5,"Test Program",1970,"Test Program",50,NA,NA,"Test if everything works as expected"
"trainingMeasures",3613.61305018277,-2260.5924956041,NA,NA,NA,Inf,NA,"Training Measures",2000,"Active Labor Market Policy",37,"Government sponsored short-term training programs ""Trainingsmaßnahmen"", which where introduced again in 1998 after being abolished in 1993",NA,NA
"trainingVoucher",-4449.87303383188,5884.45734302007,NA,NA,NA,-0.756207883656452,NA,"Training Voucher",2003,"Active Labor Market Policy",39.03,"Training Vouchers ""Bildungsgutscheine"" are awarded to unemployed to allow them to participate in training programs usually lasting between several months and 3 years.",1901.21,NA
"tuitionFees",-3002.50092811241,-469.856793286306,NA,NA,NA,6.39024692420025,NA,"Tuition Fees",2008,"Education",21,"In 2006 and 2007 some German federal states introduced tuition fees of about 1000€ per year. All tuition fees in Germany have since been abolished again. Lower Saxony was the last state to scrap tuition fees in 2015.",NA,NA
