"program","willingness_to_pay","government_net_costs","net_income_increase","bafoeg_cost","bafoeg_repayment","program_cost","tax_revenue_increase","education_cost","mvpf","earlier_labor_market_participation_net_income","earlier_labor_market_participation_tax_revenue","benefit_receipt","cost_increased_travel_time","private_safer_traffic_valuation","public_safer_traffic_valuation","private_fuel_cost_saving","value_added_tax_loss","energy_tax_loss","local_emission_reduction","co2_emission_reducation","fiscal_externality","additional_return_value","program_name","year","category","average_age_beneficiary","short_description","average_earnings_beneficiary","notes","Papers","Links"
"BestUpInformationWorkshop",3679.07295610554,-706.951095054851,2311.95798609433,1981.19440803901,-614.0794380278,5.87,-3467.93697914149,1388.00091407544,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Best Up College Information Workshop",2013,"Education",19,"A group of researchers  studied the effect of providing information about the benefits of college education to high school students one year prior to graduation.",NA,NA,"Peter et. al. (2018)","https://ideas.repec.org/p/diw/diwwpp/dp1770.html"
"bridgingAllowance",23476.223063492,-22878.334595238,23476.223063492,NA,NA,12336,-35214.334595238,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bridging Allowance",2003,"Active Labor Market Policy",40.17,"The bridging allowance ""Überbrückungsgeld"" was a subsidy equal to the potential unemployment benefit payed to start up founders who would otherwise have been eligible for unemployment benefits. The briding allowance was payed for 6 months.",2189.362,NA,"Caliendo & Künn (2011)","https://ideas.repec.org/a/eee/pubeco/v95y2011i3p311-331.html"
"classRoomTraining",1587.50530189868,2598.74204715199,1587.50530189868,NA,NA,4980,-2381.25795284801,NA,0.610874520477496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class Room Training",2000,"Active Labor Market Policy",37,"Government sponsored training that lasts on average 7.5 months.",NA,NA,"Biewen et. al. (2014)","https://ideas.repec.org/a/ucp/jlabec/doi10.1086-677233.html"
"G8",7167.93380313676,-15424.2632606195,-2412.69811686325,NA,NA,NA,3619.04717529487,-1330.0798359144,Inf,9580.63192,-17713.2306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G8",2011,"Education",18,"Between 2007 and 2013 some German federal states shortened the length of the academic high school track ""Gymnasium"" from 9 to 8 years.",NA,NA,"Marcus & Zambre (2019)","https://ideas.repec.org/a/uwp/jhriss/v54y2019i2p468-502.html"
"jobCreationSchemes",2379.79554584561,18192.7251264288,2379.79554584561,NA,NA,14886,-3569.69331876841,NA,0.130810284292618,NA,NA,-262.968192339587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Job Creation Schemes",2005,"Active Labor Market Policy",NA,"Job Creation Schemes ""Arbeitsbeschaffungsmaßnahmen"" are comprised of subsizied jobs aimed at  unemployed who would not be able to find a job otherwise. This measure is mostly employed in local labor markets with excess labor supply. The duration of the subsidy (between 900 and 1300€ payed to the employer) is usually limited to 12 months.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"longTraining",8503.69694333629,-2825.54541500445,8503.69694333629,NA,NA,9930,-12755.5454150045,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long Training",1993,"Active Labor Market Policy",35.2,"Government sponsored Training Program lasting longer than 6 months",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"mentoringBalu",1103.58108892612,1172.86236751197,1103.58108892612,NA,NA,1000,-1655.37163338918,1828.23400090114,0.940929745462959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mentoring Program Balu und Du",2011,"Education",10,"Elementary School students were assigned mentors who should encourage the acquisition of new ideas and skills.",NA,NA,"Falk et. al. (2020)","https://ideas.repec.org/p/ces/ceswps/_8382.html"
"oneEuroJobs",-115.520611189373,2418.68542884199,-115.520611189373,NA,NA,2530.5,173.28091678406,NA,-0.0477617344578298,NA,NA,61.4663456260542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One Euro Jobs",2005,"Active Labor Market Policy",NA,"One Euro Jobs ""Ein Euro Jobs"" are jobs which are assigned to long term unemployed to help them reintegrate into the labor market. These jobs are meant to be unpayed. However, the participants receive a compenstation of at leat one euro per hour worked.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"practiceFirm",7522.74934150117,-4719.12401225178,7522.74934150117,NA,NA,6565,-11284.1240122518,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Practice Firm",1993,"Active Labor Market Policy",36,"Government sponsored training that simulates a job",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"retraining",11910.2424271663,3117.6363592505,11910.2424271663,NA,NA,20983,-17865.3636407495,NA,3.82027954986695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retraining",1993,"Active Labor Market Policy",31,"Government sponsored training to obtain a new professional degree in a field other than the
profession currently held",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"shortTraining",13364.0293911705,-15607.0440867557,13364.0293911705,NA,NA,4439,-20046.0440867557,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Short Training",1993,"Active Labor Market Policy",34.8,"Government sponsored Training Program lasting less less then 6 months",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"speedLimitA3",6784429.30995241,3726105.39562541,NA,NA,NA,NA,NA,NA,1.82078298641729,NA,NA,NA,-5029905.79,2818370.14102999,-817620.488880083,6864583.12542242,1308577.24147211,3235148.64303338,1060920.2,1070461.6335,NA,NA,"Speed Limit A3",2015,NA,NA,"Potential Speed Limit of 130 kmph on German Autobahn A3",NA,NA,"Thiedig (2018)","https://ideas.repec.org/p/zbw/fubsbe/201817.html"
"speedLimitA61",7606571.7554387,8289573.91288304,NA,NA,NA,NA,NA,NA,0.917607085162379,NA,NA,NA,-13065704.94,2725076.89355237,-790555.743372954,13718146.4063863,2615044.44907166,6465085.20718433,2089857.62,2139195.7755,NA,NA,"Speed Limit A61",2015,NA,NA,"Potential Speed Limit of 130 kmph on German Autobahn A61",NA,NA,"Thiedig (2018)","https://ideas.repec.org/p/zbw/fubsbe/201817.html"
"startupGrant",26149.3646322918,-28880.7488826521,26149.3646322918,NA,NA,10343.2980657855,-39224.0469484376,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Start Up Grant",2009,"Active Labor Market Policy",40.969,"The start up Grant is the follow up program to the  bridging allowance ""Überbrückungsgeld"" and start up subsidy ""Existenzgründungszuschuss"" which were replaced in 2006. This subsidy pays the individual unemloyment benefit for 6 months and an additional 300 euros for up to 15 months.",2047.962,NA,"Caliendo et. al. (2016)","https://ideas.repec.org/a/eee/eecrev/v86y2016icp87-108.html"
"startupSubsidy",16524.5259427492,-11033.9021991269,16524.5259427492,NA,NA,13752.8867149969,-24786.7889141239,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Start Up Subsidy",2003,"Active Labor Market Policy",38.86,"The start up subsidy ""Existenzgründungszuschuss"" was a subsidy that was payed for 3 years to start up founders who received unemployment benefits before entering self-employment.",1459.378,NA,"Caliendo & Künn (2011)","https://ideas.repec.org/a/eee/pubeco/v95y2011i3p311-331.html"
