"program","willingness_to_pay","government_net_costs","increased_net_income","increased_tax_revenue","cost_difference_between_college_and_vocational_degree","mvpf","additional_return_value","program_name","year","category","average_age_beneficiary","short_description","average_earnings_beneficiary","notes"
"BestUpInformationWorkshop",3730.44445895209,-655.579592208293,42202.3123025158,61010.097790981,24785.7306084899,Inf,NA,"Best Up College Information Workshop",2013,"Education",19,"A group of researchers  studied the effect of providing information about the benefits of college education to high school students one year prior to graduation.",NA,NA
"bridgingAllowance",22694.3397316841,3507.76662246574,NA,NA,NA,6.46974048568014,NA,"Bridging Allowance",2003,"Active Labor Market Policy",40.17,"The bridging allowance ""Überbrückungsgeld"" was a subsidy equal to the potential unemployment benefit payed to start up founders who would otherwise have been eligible for unemployment benefits. The briding allowance was payed for 6 months.",2189.362,NA
"classRoomTraining",2928.9312703331,3940.16801558642,NA,NA,NA,0.743351871987922,NA,"Class Room Training",2000,"Active Labor Market Policy",37,"Government sponsored training that lasts on average 7.5 months.",NA,NA
"G8",18868.4789733816,-3723.71809037466,NA,NA,NA,Inf,NA,"G8",2011,"Education",18,"Between 2007 and 2013 some German federal states shortened the length of the academic high school track ""Gymnasium"" from 9 to 8 years.",NA,NA
"jobCreationSchemes",5949.48886461402,14623.0318076604,NA,NA,NA,0.406857411162665,NA,"Job Creation Schemes",2005,"Active Labor Market Policy",NA,"Job Creation Schemes ""Arbeitsbeschaffungsmaßnahmen"" are comprised of subsizied jobs aimed at  unemployed who would not be able to find a job otherwise. This measure is mostly employed in local labor markets with excess labor supply. The duration of the subsidy (between 900 and 1300€ payed to the employer) is usually limited to 12 months.",NA,NA
"longTraining",16069.0515469077,4739.80918856702,NA,NA,NA,3.39023173879409,NA,"Long Training",1993,"Active Labor Market Policy",35.2,"Government sponsored Training Program lasting longer than 6 months",1396,NA
"mentoringBalu",2109.52032967681,2178.80160826266,NA,NA,NA,0.968202117015559,NA,"Mentoring Program Balu und Du",2011,"Education",10,"Elementary School students were assigned mentors who should encourage the acquisition of new ideas and skills.",NA,NA
"oneEuroJobs",-288.801527973434,2591.96634562605,NA,NA,NA,-0.111421789276233,NA,"One Euro Jobs",2005,"Active Labor Market Policy",NA,"One Euro Jobs ""Ein Euro Jobs"" are jobs which are assigned to long term unemployed to help them reintegrate into the labor market. These jobs are meant to be unpayed. However, the participants receive a compenstation of at leat one euro per hour worked.",NA,NA
"practiceFirm",14233.4854501062,1991.6120963533,NA,NA,NA,7.14671570642103,NA,"Practice Firm",1993,"Active Labor Market Policy",36,"Government sponsored training that simulates a job",1396,NA
"retraining",22406.806676329,13614.2006084132,NA,NA,NA,1.64584078939473,NA,"Retraining",1993,"Active Labor Market Policy",31,"Government sponsored training to obtain a new professional degree in a field other than the
profession currently held",1396,NA
