"program","willingness_to_pay","government_net_costs","net_income_increase","bafoeg_cost","bafoeg_repayment","program_cost","tax_revenue_increase","education_cost","mvpf","earlier_labor_market_participation_net_income","earlier_labor_market_participation_tax_revenue","benefit_receipt","cost_increased_travel_time","private_safer_traffic_valuation","public_safer_traffic_valuation","private_fuel_cost_saving","value_added_tax_loss","energy_tax_loss","local_emission_reduction","co2_emission_reducation","fiscal_externality","additional_return_value","program_name","year","category","average_age_beneficiary","short_description","average_earnings_beneficiary","notes","Papers","Links"
"BestUpInformationWorkshop",9200.56671507855,-9124.38905025292,7935.6543840905,2130.16616513472,-865.253834146661,5.87,-11903.4815761357,1508.31019489476,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Best Up College Information Workshop",2013,"Education",19,"A group of researchers  studied the effect of providing information about the benefits of college education to high school students one year prior to graduation.",NA,NA,"Peter et. al. (2018)","https://ideas.repec.org/p/diw/diwwpp/dp1770.html"
"bridgingAllowance",26763.1085002347,-27808.662750352,26763.1085002347,NA,NA,12336,-40144.662750352,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bridging Allowance",2003,"Active Labor Market Policy",40.17,"The bridging allowance ""Überbrückungsgeld"" was a subsidy equal to the potential unemployment benefit payed to start up founders who would otherwise have been eligible for unemployment benefits. The briding allowance was payed for 6 months.",2189.362,NA,"Caliendo & Künn (2011)","https://ideas.repec.org/a/eee/pubeco/v95y2011i3p311-331.html"
"classRoomTraining",2016.40981345953,1955.38527981072,2016.40981345953,NA,NA,4980,-3024.61472018928,NA,1.03120844484148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class Room Training",2000,"Active Labor Market Policy",37,"Government sponsored training that lasts on average 7.5 months.",NA,NA,"Biewen et. al. (2014)","https://ideas.repec.org/a/ucp/jlabec/doi10.1086-677233.html"
"G8",1423.94954107033,-6919.12797400346,-8156.68237892967,NA,NA,NA,12235.0235683945,-1440.92094239797,Inf,9580.63192,-17713.2306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G8",2011,"Education",18,"Between 2007 and 2013 some German federal states shortened the length of the academic high school track ""Gymnasium"" from 9 to 8 years.",NA,NA,"Marcus & Zambre (2019)","https://ideas.repec.org/a/uwp/jhriss/v54y2019i2p468-502.html"
"jobCreationSchemes",2409.86726216069,18236.6600937313,2409.86726216069,NA,NA,14886,-3614.80089324104,NA,0.132144112451219,NA,NA,-264.140799509697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Job Creation Schemes",2005,"Active Labor Market Policy",NA,"Job Creation Schemes ""Arbeitsbeschaffungsmaßnahmen"" are comprised of subsizied jobs aimed at  unemployed who would not be able to find a job otherwise. This measure is mostly employed in local labor markets with excess labor supply. The duration of the subsidy (between 900 and 1300€ payed to the employer) is usually limited to 12 months.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"longTraining",9623.000493593,-4504.50074038951,9623.000493593,NA,NA,9930,-14434.5007403895,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long Training",1993,"Active Labor Market Policy",35.2,"Government sponsored Training Program lasting longer than 6 months",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"mentoringBalu",4937.21299619042,-4212.68978088531,4937.21299619042,NA,NA,1000,-7405.81949428563,2193.12971340032,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mentoring Program Balu und Du",2011,"Education",10,"Elementary School students were assigned mentors who should encourage the acquisition of new ideas and skills.",NA,NA,"Falk et. al. (2020)","https://ideas.repec.org/p/ces/ceswps/_8382.html"
"oneEuroJobs",-114.31667384375,2422.18219603266,-114.31667384375,NA,NA,2530.5,171.475010765625,NA,-0.0471957369808893,NA,NA,63.1572067982845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One Euro Jobs",2005,"Active Labor Market Policy",NA,"One Euro Jobs ""Ein Euro Jobs"" are jobs which are assigned to long term unemployed to help them reintegrate into the labor market. These jobs are meant to be unpayed. However, the participants receive a compenstation of at leat one euro per hour worked.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"practiceFirm",8512.93515147784,-6204.40272721678,8512.93515147784,NA,NA,6565,-12769.4027272168,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Practice Firm",1993,"Active Labor Market Policy",36,"Government sponsored training that simulates a job",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"retraining",13477.9343054137,766.098541879437,13477.9343054137,NA,NA,20983,-20216.9014581206,NA,17.5929512570914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retraining",1993,"Active Labor Market Policy",31,"Government sponsored training to obtain a new professional degree in a field other than the
profession currently held",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"shortTraining",15123.07673763,-18245.615106445,15123.07673763,NA,NA,4439,-22684.615106445,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Short Training",1993,"Active Labor Market Policy",34.8,"Government sponsored Training Program lasting less less then 6 months",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
