"program","willingness_to_pay","government_net_costs","net_income_increase","bafoeg_cost","bafoeg_repayment","program_cost","tax_revenue_increase","education_cost","mvpf","earlier_labor_market_participation_net_income","earlier_labor_market_participation_tax_revenue","benefit_receipt","cost_increased_travel_time","private_safer_traffic_valuation","public_safer_traffic_valuation","private_fuel_cost_saving","value_added_tax_loss","energy_tax_loss","local_emission_reduction","co2_emission_reducation","fiscal_externality","additional_return_value","program_name","year","category","average_age_beneficiary","short_description","average_earnings_beneficiary","notes","Papers","Links"
"BestUpInformationWorkshop",31876.8812719973,-2653.50400432821,30695.485148264,2213.64921170719,-1032.25308797389,5.87,-5416.85032028189,1576.08019222038,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Best Up College Information Workshop",2013,"Education",19,"A group of researchers  studied the effect of providing information about the benefits of college education to high school students one year prior to graduation.",NA,NA,"Peter et. al. (2018)","https://ideas.repec.org/p/diw/diwwpp/dp1770.html"
"bridgingAllowance",28650.4718134093,7280.03438586894,28650.4718134093,NA,NA,12336,-5055.96561413106,NA,3.93548578136141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bridging Allowance",2003,"Active Labor Market Policy",40.17,"The bridging allowance ""Überbrückungsgeld"" was a subsidy equal to the potential unemployment benefit payed to start up founders who would otherwise have been eligible for unemployment benefits. The briding allowance was payed for 6 months.",2189.362,NA,"Caliendo & Künn (2011)","https://ideas.repec.org/a/eee/pubeco/v95y2011i3p311-331.html"
"classRoomTraining",4824.47975319535,4128.62122002435,4824.47975319535,NA,NA,4980,-851.378779975648,NA,1.1685450168681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class Room Training",2000,"Active Labor Market Policy",37,"Government sponsored training that lasts on average 7.5 months.",NA,NA,"Biewen et. al. (2014)","https://ideas.repec.org/a/ucp/jlabec/doi10.1086-677233.html"
"G8",-9365.13344927188,-243.851683296559,-32230.6883192719,NA,NA,NA,5687.76852693033,-1503.31256022689,38.4050391724486,22865.55487,-4428.30765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G8",2011,"Education",18,"Between 2007 and 2013 some German federal states shortened the length of the academic high school track ""Gymnasium"" from 9 to 8 years.",NA,NA,"Marcus & Zambre (2019)","https://ideas.repec.org/a/uwp/jhriss/v54y2019i2p468-502.html"
"jobCreationSchemes",5155.24773402378,15530.976924897,5155.24773402378,NA,NA,14886,-909.749600121844,NA,0.331933255644702,NA,NA,-264.77267522489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Job Creation Schemes",2005,"Active Labor Market Policy",NA,"Job Creation Schemes ""Arbeitsbeschaffungsmaßnahmen"" are comprised of subsizied jobs aimed at  unemployed who would not be able to find a job otherwise. This measure is mostly employed in local labor markets with excess labor supply. The duration of the subsidy (between 900 and 1300€ payed to the employer) is usually limited to 12 months.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"longTraining",21857.0826328344,6072.86777067629,21857.0826328344,NA,NA,9930,-3857.13222932371,NA,3.59913692479432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long Training",1993,"Active Labor Market Policy",35.2,"Government sponsored Training Program lasting longer than 6 months",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"mentoringBalu",21758.1729271505,-423.716384332829,21758.1729271505,NA,NA,1000,-3839.6775753795,2415.96119104667,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mentoring Program Balu und Du",2011,"Education",10,"Elementary School students were assigned mentors who should encourage the acquisition of new ideas and skills.",NA,NA,"Falk et. al. (2020)","https://ideas.repec.org/p/ces/ceswps/_8382.html"
"oneEuroJobs",-241.488584276795,2551.95324118358,-241.488584276795,NA,NA,2530.5,42.6156325194344,NA,-0.0946289220271112,NA,NA,64.0688737030171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One Euro Jobs",2005,"Active Labor Market Policy",NA,"One Euro Jobs ""Ein Euro Jobs"" are jobs which are assigned to long term unemployed to help them reintegrate into the labor market. These jobs are meant to be unpayed. However, the participants receive a compenstation of at leat one euro per hour worked.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"practiceFirm",19335.7495074115,3152.80891045679,19335.7495074115,NA,NA,6565,-3412.19108954321,NA,6.13286439380498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Practice Firm",1993,"Active Labor Market Policy",36,"Government sponsored training that simulates a job",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"retraining",30612.9386597743,15580.7167070987,30612.9386597743,NA,NA,20983,-5402.28329290135,NA,1.96479656457824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retraining",1993,"Active Labor Market Policy",31,"Government sponsored training to obtain a new professional degree in a field other than the
profession currently held",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"shortTraining",34349.6124869943,-1622.69632123429,34349.6124869943,NA,NA,4439,-6061.69632123429,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Short Training",1993,"Active Labor Market Policy",34.8,"Government sponsored Training Program lasting less less then 6 months",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"speedLimitA3",7397644.67661248,4339320.76228548,NA,NA,NA,NA,NA,NA,1.70479323421028,NA,NA,NA,-5029905.79,3431585.50769005,-204405.122220021,6864583.12542242,1308577.24147211,3235148.64303338,1060920.2,1070461.6335,NA,NA,"Speed Limit A3",2015,NA,NA,"Potential Speed Limit of 130 kmph on German Autobahn A3",NA,NA,"Thiedig (2018)","https://ideas.repec.org/p/zbw/fubsbe/201817.html"
"speedLimitA61",8199488.56296842,8882490.72041275,NA,NA,NA,NA,NA,NA,0.923106910106336,NA,NA,NA,-13065704.94,3317993.70108208,-197638.935843238,13718146.4063863,2615044.44907166,6465085.20718433,2089857.62,2139195.7755,NA,NA,"Speed Limit A61",2015,NA,NA,"Potential Speed Limit of 130 kmph on German Autobahn A61",NA,NA,"Thiedig (2018)","https://ideas.repec.org/p/zbw/fubsbe/201817.html"
"startupGrant",31912.7839393003,4761.59792537513,31912.7839393003,NA,NA,10393.2656793693,-5631.66775399416,NA,6.70211648262722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Start Up Grant",2009,"Active Labor Market Policy",40.969,"The start up Grant is the follow up program to the  bridging allowance ""Überbrückungsgeld"" and start up subsidy ""Existenzgründungszuschuss"" which were replaced in 2006. This subsidy pays the individual unemloyment benefit for 6 months and an additional 300 euros for up to 15 months.",2047.962,NA,"Caliendo et. al. (2016)","https://ideas.repec.org/a/eee/eecrev/v86y2016icp87-108.html"
"startupSubsidy",20166.594237594,10741.6695972535,20166.594237594,NA,NA,14300.4803450642,-3558.8107478107,NA,1.87741710494896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Start Up Subsidy",2003,"Active Labor Market Policy",38.86,"The start up subsidy ""Existenzgründungszuschuss"" was a subsidy that was payed for 3 years to start up founders who received unemployment benefits before entering self-employment.",1459.378,NA,"Caliendo & Künn (2011)","https://ideas.repec.org/a/eee/pubeco/v95y2011i3p311-331.html"
"subsidizedJobOpportunities",5876.21298923302,21638.9920695458,5876.21298923302,NA,NA,20910,-1036.97876280583,NA,0.271556686667632,NA,NA,-307.986693260067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subsidized Job Opportunities",2005,"Active Labor Market Policy",NA,"Similar to  Job Creation Schemes, Subsidized Job Opportunities ""Arbeitsgelegenheiten"" are jobs where the employer receives a subsidy. The focus of subsidized job opportunities lies on reintegration. The amount of subsidy payed to the employer is not fixed and the types of jobs that can be subsizied  is more broad.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"taxReform1990",1,-0.19240416827853,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19240416827853,NA,"Top Tax Reform 1990",1990,"Top Tax Reform",NA,"In 1990 Germany reduced the top tax rate from 56% to 53%",NA,NA,"Atkinson & Piketty (2010);Gottfried & Schellhorn (2004)","https://ideas.repec.org/p/iaw/iawdip/15.html;https://ideas.repec.org/p/iaw/iawdip/15.html
"
"taxReform2000",1,0.352185678650037,NA,NA,NA,NA,NA,NA,2.83941131233133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647814321349963,NA,"Top Tax Reform 2000",2000,"Top Tax Reform",NA,"In 2000 Germany reduced the top tax rate from 53% to 42%",NA,NA,"Doerrenberg et. al. (2017);Clementi and Gallegati (2005)","https://ideas.repec.org/a/eee/pubeco/v151y2017icp41-55.html;https://ideas.repec.org/p/arx/papers/physics-0504217.html
"
"testProgram",2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Test Program",1970,"Test Program",50,NA,NA,"Test if everything works as expected","Chuck & Norris (2014);Du und Ich (2012)","https://example.com;https://example.com"
"trainingMeasures",6014.7400366325,-365.424712346913,6014.7400366325,NA,NA,696,-1061.42471234691,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Training Measures",2000,"Active Labor Market Policy",37,"Government sponsored short-term training programs ""Trainingsmaßnahmen"", which where introduced again in 1998 after being abolished in 1993",NA,NA,"Biewen et. al. (2014)","https://ideas.repec.org/a/ucp/jlabec/doi10.1086-677233.html"
"trainingVoucher",-7024.03646996364,3483.18798116191,-7024.03646996364,NA,NA,2243.65213352127,1239.53584764064,NA,-2.01655394654313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Training Voucher",2003,"Active Labor Market Policy",39.03,"Training Vouchers ""Bildungsgutscheine"" are awarded to unemployed to allow them to participate in training programs usually lasting between several months and 3 years.",1901.21,NA,"Doerr et. al. (2014);Huber et al. (2018)","https://ideas.repec.org/p/iza/izadps/dp8454.html;https://ideas.repec.org/p/cpr/ceprdp/10650.html"
